Username,Comment
@grazvy3477,"The math part is just delusional or exaggerated to sound easy. 
I studied computer science at TUM. All those math modules combined would be 30 university credits, each representing 30 HOURS, resulting with 900 in total.
On average, this is enough to barely pass the exams.
He's talking about self study in a non-professional environment and ""mastering"" it in 2-3 months, this is crazy.
It would take 22 full-time weeks to get 900 hours with good resources at hand, but ""mastering"" would only be possible for the 3%, optimistically speaking."
@animalbhai264,next career path for software engineers
@Theo_hughes,This was very helpful
@Reem-j9q,"please, if you can, make a Cyber Security roadmap.
I need it so much"
@mhd8445,I really appreciate all the effort you put in and I promise I will do my best to return the favor.
@saifulislamislam9281,Thanks for sharing. Really appreciate it. ❤
@sazid75,hi Mosh. Do you have any promo or offer code for yearly  subscription on your website course? Or amy upcoming offer?
@JamalGhazniwal-xr4wc,"Like this comment please, if you want blockchain roadmap."
@JamalGhazniwal-xr4wc,Hi mosh! can you make one for blockchain software development please?
@muhammadabdulla5224,Cyber security roadmap please
@AllenDende,all along i was used to think i am a data scientist 😭😭😭😭😭
@PavithraS-gb8mn,Sir how can  I download the road map...I didn't get my mail id...
@Scott.Vantas,Interesting roadmap. I'm currently making a carreer change from accounting to data science and this roadmap helps a lot.
@alanbarimoon,Useful and enriching information that enlightens us on the path to the world of data science. Thank you Mosh
@CodeWithOgochukwu,This is wonderful. Well done 👍
@prince-charlestoby1691,"I’m currently taking your SQL course. Hoping to take PowerBI, then projects, then Python next. A data analyst track with tutorials on these other parts will be helpful (especially PowerBI)"
@RandyAinsworth-tx6vn,Would love to go this route but I sux at math now as I rarely use anything besides basic math haha
@kimochiyokatta6968,So machine learning is part of data science?
@RupamAsh-w4f,Please make a roadmap on DevOps
@Chikondi__banda,Thank you so much for this Mosh🖤!
@aspilmichel3066,"Thank you for the energy, time, and effort you put into this video you are an amazing researcher. Why does anyone never make a road map for cybersecurity? Please, we need a road map for Cybersecurity, thanks in advance 🙏🙏"
@Bug-Slayer-404,"Sir, do you intend to make a course on Flutter in future? If so, please reply. I want a Flutter course."
@KodwoEssel,Still waiting for devops
@renurenu7629,Plz make a full course for data science...🙏👍👍
@raeesahmed7283,Next Cyber Security Roadmap plz❤
@MDTALKIES,Amazing video ❤❤❤
@SaidevNallamothu,Please make a road map on iot..
@paulchilwalo4192,Mosh has been blessing us of late thanks a lot i have been waiting for this video for a while 😀😀😇
@natishighlight1666,mosh      we need a complete roadmap to become cyber security expert
@Ranjeetvishwakarma-72,This is the only channel where I found all the solution of My every problem
@lejen1925,"MASTERING Linear Algebra, Probability, Calculus and Statistic in only 2 to 3 months?! I'm afraid that wouldn't be possible. It takes a whole semester if you take these courses in a university and you'd still have to pass calculus 2."
@ManganenTV,create also a roadmap for RPA 😊
@MostafaNaser-sz2mc,"Can you do game development roadmap?
Love you from the UK ❤❤❤"
@IsmailAhmadi-xr3ex,"I see, it is much more complex than becoming a software engineer…😅"
@Fast4K,"Mosh, is your Java, DSA and system design course enough for Job interviews?"
@ashaduzzamansunny5724,"that's what I was looking for ,thank u Mosh for this awesome informative video 🤗"
@GelzintVidaurre,when a spring boot course with java?
@RaiyanRafizAnoy,"Dear Mosh Sir,
Which is better to learn Web dev or Data science? 
You know about AI
So which development is the safest job in the upcoming years?
I am the final year student.
So plz plz...
Reply me as soon as possible 
Thank you!
Or anyone can tell me which is better and safe and why?"
@Hossein-o9c,"Mosh, how do I know if I am ready to work remotely with foreign countries in the field of front-end or after learning back-end as a full stack developer?"
@AhmedHashim-f9r,Next data analyst roadmap
@AhmedHashim-f9r,Next data analyst roadmap
@nanayaw7159,Mosh you are doing a great job. Please can you record roadmap video on Data Engineering?
@AhmedHashim-f9r,That a mazing roadmap we want data analyst roadmap please let next video
@BrawlingstarsX,Random video on my for you page 😂
@AlokKumar-yn7qk,Can you make video data engineering roadmap ❤❤❤❤
@Webprogramminglearn,Nice information
@FasiuddinSajjad-c8x,Next software engineering
@Food_lover.78,Mosh please give some text book reference pls
@Food_lover.78,12 to 20 months 😢 its too long.
@MadhuSudhan-um2lm,Spring boot and mango db
@FarhanKhanAffiliateEmporium,"hi ,sir I am your student and subscriber from pakistan can I get your coplete your python course for free I am in high school and have weak background status you put 14$ for first 200 students but in my country its equal to 4000 . please I am really ecited to learn it from you"
@abeladisu73,"Mosh you are my number one instructor 2 years ago i watched you javascript and currently im full stack developer both java and react/next js i want to thank you, and why you dont make course in spring boot or jhipster??"
@samarthvanpariya2997,CAN YOU create roadmap for data analysts?
@eternal3469,make a video on cybersecurity and ethical hacking skills to be learnt.
@venky76v,"Mosh, Do you have a course that a complete Data Science course? I want to see if there is course that covers all the aspects"
@JohnHacker-j4q,when are you create video about full functionally CRM ? Mosh Hamedani ?
@forchessme5785,Like me if u wanna be ML engineer 🎉
@ferdause714,Make a video on redux toolkit please.
@ramaz678,lets make the courses free i think it should be .
@TheInquisitiveCharlie,first one
